ratio,bin
0.583891059816272,87.89999999999999
0.5604499428956715,88.05
0.5994499018891573,88.2
0.6676305616389738,88.35
0.6861086340911297,88.5
0.6366694990778342,88.64999999999999
0.7192890747642304,88.8
0.7784072906770506,88.95
0.7852419610622658,89.1
0.7830274761095969,89.25
0.7475194144430494,89.39999999999999
0.780626706176114,89.55
0.7811584384080369,89.7
0.7501170123711979,89.85
0.7385993833814237,90.0
0.8146555579360575,90.14999999999999
0.7878577955759722,90.3
0.7225919863427579,90.45
0.8494870471185108,90.6
0.8229634420728208,90.75
0.7374832562168947,90.89999999999999
0.7616417928336185,91.05
0.7193885497034462,91.2
0.7877927961703476,91.35
0.6924810176585715,91.5
0.8407797562608663,91.64999999999999
0.7714713454189209,91.8
0.7330626333751797,91.95
0.7038664482351387,92.1
0.8250935914435648,92.25
0.7223001436516446,92.39999999999999
0.7731143124500969,92.55
0.741267352048693,92.7
0.7203902591116441,92.85
0.7051628364575827,93.0
0.6524032309125932,93.14999999999999
0.7801819482699347,93.3
0.687585869357327,93.45
0.7570094572251024,93.6
0.6825711153835559,93.75
0.7503576041385887,93.89999999999999
0.7285770376582098,94.05
0.8747494571511388,94.2
0.697140752781242,94.35
0.7970931277918031,94.5
0.7391361251605026,94.64999999999999
0.739616928486734,94.8
0.7489283515592771,94.95
0.7413488467477404,95.1
0.7513403591327369,95.25
0.6582878502190729,95.39999999999999
0.8066966594519452,95.55
0.7122959865373559,95.7
0.8216251379593686,95.85
0.7151338191531972,96.0
0.7317129503023627,96.14999999999999
0.7206513646785566,96.3
0.7133450233363801,96.45
0.6461048199659234,96.6
0.7574869705774903,96.75
0.7793820351309019,96.89999999999999
0.7122959865373559,97.05
0.7979449712199299,97.2
0.7516995943032522,97.35
0.6808132909997933,97.5
0.714247482390883,97.64999999999999
0.7776649220107209,97.8
0.7000150212522291,97.95
0.7225008000980631,98.1
0.7741480189817762,98.25
0.7143081220925462,98.39999999999999
0.7112827632279145,98.55
0.7565629687515419,98.7
0.6966411296903811,98.85
0.691018297039085,99.0
0.7465991926878801,99.14999999999999
0.739616928486734,99.3
0.7064734035411377,99.45
0.7593640032688993,99.6
0.724829053749157,99.75
0.7588380538395127,99.89999999999999
0.7198335102044179,100.05
0.698597986796253,100.2
0.7151566129893132,100.35
0.7484481833849309,100.5
0.6630054908610938,100.64999999999999
0.7231331315607459,100.8
0.7852729202230013,100.95
0.7074635850004675,101.1
0.7112856376202816,101.25
0.7011821484495391,101.39999999999999
0.7502052967452264,101.55
0.7554932915273633,101.7
0.699523782640824,101.85
0.7536429831173608,102.0
0.6485642403734873,102.14999999999999
0.6489381225057312,102.3
0.7160548044082654,102.45
0.7228984978389945,102.6
0.7333936109622988,102.75
0.7909857870586994,102.89999999999999
0.7490122745031991,103.05
0.6502801668139543,103.2
0.7634553667858953,103.35
0.7509477067370575,103.5
0.7209240671279834,103.64999999999999
0.666623529010404,103.8
0.7207757006628006,103.95
0.7182649473183952,104.1
0.7436168029666581,104.25
0.7754357969783404,104.39999999999999
0.7932387122802372,104.55
0.8092850447335113,104.7
0.6954075182373071,104.85
0.7396530158922757,105.0
0.7102781508814427,105.14999999999999
0.6661896413057438,105.3
0.7688274140403207,105.45
0.6509593876966392,105.6
0.600402747272867,105.75
0.7074105545309268,105.89999999999999
0.7132394249301206,106.05
0.7441898366808196,106.2
0.7224426530122471,106.35
0.7855774666337917,106.5
0.6676064816201595,106.64999999999999
0.713265096723121,106.8
0.7190982674456253,106.95
